year,district,county,locale_group,highest_grade,enrollment,pupil_teacher,revenue,revenue_local,revenue_state,revenue_federal,revenue_pupil,revenue_local_pupil,revenue_state_pupil,revenue_federal_pupil,expenditure,expenditure_pupil,expenditure_instruction_pupil,expenditure_support_pupil,nces_id,SED_CODE_1,grad_rate,ard_rate
2013-14,OPPORTUNITY CHARTER SCHOOL,New York County,City,12th Grade,,9.05,,,,,,,,,,,,,3600109,310300860871.0,,
2013-14,ORACLE CHARTER SCHOOL,Erie County,City,12th Grade,,10.22,,,,,,,,,,,,,3600132,,,
2013-14,ORANGE-ULSTER BOCES,Orange County,Rural,Ungraded,,9.65,,,,,,,,,,,,,3680620,449000000000.0,,
2013-14,ORCHARD PARK CENTRAL SCHOOL DISTRICT,Erie County,Suburb,12th Grade,4964.119103841502,13.02,87684000.0,57908000.0,27866000.0,1910000.0,17663.55684982365,11665.312372377948,5613.483362725079,384.76111472062377,86192000.0,17363.0,11148.0,5065.0,3621900,142301060000.0,0.95,0.6
2013-14,ORISKANY CENTRAL SCHOOL DISTRICT,Oneida County,Suburb,12th Grade,630.0036248770131,11.41,13722000.0,5181000.0,8055000.0,486000.0,21780.827059016934,8223.762206148283,12785.640720039455,771.4241328291962,12166000.0,19311.0,11837.0,6640.0,3621960,412901040000.0,0.96,0.4
2013-14,ORLEANS-NIAGARA BOCES,Orleans County,Rural,Ungraded,,0.42,,,,,,,,,,,,,3680640,459000000000.0,,
2013-14,OSSINING UNION FREE SCHOOL DISTRICT,Westchester County,Suburb,12th Grade,4742.0831599258445,14.54,115039000.0,80751000.0,30655000.0,3633000.0,24259.169677192873,17028.59213486732,6464.458544096763,766.1189982287893,125338000.0,26431.0,14551.0,6892.0,3622020,661401030000.0,0.84,0.41
2013-14,OSWEGO BOCES,Oswego County,Rural,Ungraded,,1.96,,,,,,,,,,,,,3680660,469000000000.0,,
2013-14,OSWEGO CITY SCHOOL DISTRICT,Oswego County,Town,12th Grade,4005.0447666227333,12.5,79915000.0,51478000.0,25011000.0,3426000.0,19953.584705468493,12853.28953848598,6244.874016998967,855.4211499835458,88123000.0,22003.0,12028.0,6178.0,3622050,461300010000.0,0.76,0.37
2013-14,OSWEGO MEOP,,,,,,,,,,,,,,,,,,3600982,,,
2013-14,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,Otsego County,Rural,12th Grade,919.9859931716712,11.3,21580000.0,6135000.0,14537000.0,908000.0,23456.878865734132,6668.579788752498,15801.32752878485,986.9715481967837,21018000.0,22846.0,12339.0,6880.0,3629240,471601040000.0,0.74,0.13
2013-14,OTSEGO-DELAWARE-SCHOHARIE-GREENE BOCES,Delaware County,Rural,,,,,,,,,,,,,,,,3680380,199000000000.0,,
2013-14,OTSELIC VALLEY CSD,Chenango County,Rural,12th Grade,337.99724695509747,10.48,10753000.0,3625000.0,6510000.0,618000.0,31813.868594700485,10724.939426745026,19260.511908444172,1828.41725951129,19398000.0,57391.0,13648.0,16722.0,3622100,81401040000.0,0.94,0.26
2013-14,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,Queens County,City,8th Grade,,14.41,,,,,,,,,,,,,3600057,343000860836.0,,
2013-14,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL 2,Queens County,,,,,,,,,,,,,,,,,3601183,342700861118.0,,
2013-14,OWEGO-APALACHIN CENTRAL SCHOOL DISTRICT,Tioga County,Town,12th Grade,2191.002044989775,13.15,52731000.0,18946000.0,21791000.0,11994000.0,24067.07018853836,8647.184991599775,9945.677618069814,5474.20757886877,53570000.0,24450.0,11718.0,5446.0,3622170,600601060000.0,0.87,0.48
2013-14,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,Chenango County,Rural,12th Grade,779.002022519395,10.36,19178000.0,4234000.0,14091000.0,853000.0,24618.67805936604,5435.159187785786,18088.528132992327,1094.9907385879253,25806000.0,33127.0,12807.0,7069.0,3622260,81501040000.0,0.9,0.26
2013-14,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL DISTRICT,Nassau County,Suburb,12th Grade,1666.9832951195544,11.17,53982000.0,48461000.0,4764000.0,757000.0,32383.04796337414,29071.07716188867,2857.8570726819016,454.1137288035683,50893000.0,30530.0,17970.0,10720.0,3622290,280506060000.0,0.97,0.54
2013-14,OYSTERPONDS UNION FREE SCHOOL DISTRICT,Suffolk County,Rural,6th Grade,80.0,7.68,5383000.0,4806000.0,515000.0,62000.0,67287.5,60075.0,6437.5,775.0,5062000.0,63275.0,22950.0,16563.0,3621930,581002020000.0,,
2013-14,PALMYRA-MACEDON CENTRAL SCHOOL DISTRICT,Wayne County,Town,12th Grade,1970.0436632951971,11.44,36981000.0,16657000.0,18633000.0,1691000.0,18771.66516103692,8455.142548535518,9458.1660026933,858.3566098081023,35644000.0,18093.0,10581.0,6164.0,3622380,650901060000.0,0.94,0.46
2013-14,PANAMA CENTRAL SCHOOL DISTRICT,Chautauqua County,Rural,12th Grade,529.9893276414087,10.14,12335000.0,3031000.0,8817000.0,487000.0,23274.05356423681,5718.983084977849,16636.184051550543,918.8864277084173,12415000.0,23425.0,12998.0,6291.0,3622410,61601040000.0,0.88,0.25
2013-14,PARISHVILLE-HOPKINTON CENTRAL SCHOOL DISTRICT,St. Lawrence County,Rural,12th Grade,460.9949257836582,11.66,9953000.0,3185000.0,6370000.0,398000.0,21590.259335459315,6908.969756197922,13817.939512395844,863.3500668655488,9721000.0,21087.0,12540.0,6785.0,3622440,512501040000.0,0.98,0.41
2013-14,PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,Suffolk County,Suburb,12th Grade,7886.067554123833,15.46,174259000.0,90763000.0,77338000.0,6158000.0,22097.071677870088,11509.285125580445,9806.91573705299,780.8708152366535,166467000.0,21109.0,13240.0,6013.0,3622470,580224030000.0,0.88,0.3
